,Survived,Pclass,Sex,Age,Fare,C,Q,S,Size
0,0,3,1,0.2711736617240513,0.014151057562208049,0,0,1,2
1,1,1,0,0.4722292033174164,0.13913573538264068,1,0,0,2
2,1,3,0,0.32143754712239253,0.015468569817999833,0,0,1,1
3,1,1,0,0.43453128926866047,0.10364429745562033,0,0,1,2
4,0,3,1,0.43453128926866047,0.015712553569072387,0,0,1,1
5,0,3,1,0.37170143252073384,0.01650950209357577,0,1,0,1
6,0,1,1,0.6732847449107816,0.10122885832000206,0,0,1,1
7,0,3,1,0.01985423473234481,0.04113566043083236,0,0,1,5
8,1,3,0,0.33400351847197784,0.021730754366528396,0,0,1,3
9,1,2,0,0.17064589092736868,0.058694292654020104,1,0,0,2
10,1,3,0,0.04498617743151546,0.03259622914329302,0,0,1,3
11,1,1,0,0.7235486303091229,0.051822148727810165,0,0,1,1
12,0,3,1,0.24604171902488062,0.015712553569072387,0,0,1,1
13,0,3,1,0.4847951746670017,0.06104473451835265,0,0,1,7
14,0,3,0,0.17064589092736868,0.015330377421392339,0,0,1,1
15,1,2,0,0.6858507162603669,0.03122992013728673,0,0,1,1
16,0,3,1,0.01985423473234481,0.056848213999904744,0,1,0,6
17,1,2,1,0.37170143252073384,0.025374310111545468,0,0,1,1
18,0,3,0,0.38426740387031916,0.03513366015444757,0,0,1,2
19,1,3,0,0.43453128926866047,0.014102260811993537,1,0,0,1
20,0,2,1,0.43453128926866047,0.050748620223090936,0,0,1,1
21,1,2,1,0.42196531791907516,0.025374310111545468,0,0,1,1
22,1,3,0,0.18321186227695402,0.015671954672893913,0,1,0,1
23,1,1,1,0.3465694898215632,0.06929138530460492,0,0,1,1
24,0,3,0,0.09525006282985675,0.04113566043083236,0,0,1,5
25,1,3,0,0.4722292033174164,0.061264319894317944,0,0,1,7
26,0,3,1,0.37170143252073384,0.014102260811993537,1,0,0,1
27,0,1,1,0.23347574767529528,0.5133418122566505,0,0,1,6
28,1,3,0,0.2586076903744659,0.01537917417160685,0,1,0,1
29,0,3,1,0.37170143252073384,0.015411575213749284,0,0,1,1
30,0,1,1,0.4973611460165871,0.05410739813385612,1,0,0,1
31,1,1,0,0.43453128926866047,0.2859895551532101,1,0,0,2
32,1,3,0,0.2586076903744659,0.015126992566498259,0,1,0,1
33,0,2,1,0.8240764011058055,0.020494635090094415,0,0,1,1
34,0,1,1,0.3465694898215632,0.16038672010106,1,0,0,2
35,0,1,1,0.5224930887157577,0.10149724044618187,0,0,1,2
36,1,3,1,0.37170143252073384,0.014110458666029575,1,0,0,1
37,0,3,1,0.2586076903744659,0.015712553569072387,0,0,1,1
38,0,3,0,0.22090977632570996,0.03513366015444757,0,0,1,3
39,1,3,0,0.17064589092736868,0.021942337075458514,1,0,0,2
40,0,3,0,0.4973611460165871,0.018493968331299484,0,0,1,2
41,0,2,0,0.33400351847197784,0.04098927018018883,0,0,1,2
42,0,3,1,0.37170143252073384,0.015411575213749284,1,0,0,1
43,1,2,0,0.032420206081930136,0.08115719346076702,1,0,0,4
44,1,3,0,0.23347574767529528,0.01537917417160685,0,1,0,1
45,0,3,1,0.37170143252073384,0.015712553569072387,0,0,1,1
46,0,3,1,0.37170143252073384,0.030253985132996517,0,1,0,2
47,1,3,0,0.2586076903744659,0.015126992566498259,0,1,0,1
48,0,3,1,0.37170143252073384,0.04231498029001666,1,0,0,3
49,0,3,0,0.22090977632570996,0.034743286152731485,0,0,1,2
50,0,3,1,0.08268409148027142,0.07746484096553544,0,0,1,6
51,0,3,1,0.2586076903744659,0.01522458606692728,0,0,1,1
52,1,1,0,0.610454888162855,0.1497654242623688,1,0,0,2
53,1,2,0,0.35913546117114853,0.050748620223090936,0,0,1,2
54,0,1,1,0.8115104297562201,0.1209753416358076,1,0,0,2
55,1,1,1,0.37170143252073384,0.06929138530460492,0,0,1,1
56,1,2,0,0.2586076903744659,0.020494635090094415,0,0,1,1
57,0,3,1,0.35285247549635584,0.014110458666029575,1,0,0,1
58,1,2,0,0.05755214878110078,0.05416439273810667,0,0,1,4
59,0,3,1,0.13294797687861273,0.09154270340242172,0,0,1,8
60,0,3,1,0.2711736617240513,0.014110458666029575,1,0,0,1
61,1,1,0,0.4722292033174164,0.15614960068643363,0,0,1,1
62,0,1,1,0.5601910027645137,0.16293234896625058,0,0,1,2
63,0,3,1,0.04498617743151546,0.05445717323939373,0,0,1,6
64,0,1,1,0.37170143252073384,0.05410739813385612,1,0,0,1
65,1,3,1,0.03870319175672279,0.029757819776815374,1,0,0,3
66,1,2,0,0.35913546117114853,0.020494635090094415,0,0,1,1
67,0,3,1,0.23347574767529528,0.015923941091001644,0,0,1,1
68,1,3,0,0.20834380497612465,0.015468569817999833,0,0,1,7
69,0,3,1,0.32143754712239253,0.016908073949327893,0,0,1,3
70,0,2,1,0.39683337521990447,0.020494635090094415,0,0,1,1
71,0,3,0,0.19577783362653933,0.09154270340242172,0,0,1,8
72,0,2,1,0.2586076903744659,0.1434624456306609,0,0,1,1
73,0,3,1,0.32143754712239253,0.028212719478023115,1,0,0,2
74,1,3,1,0.39683337521990447,0.11027245763075773,0,0,1,1
75,0,3,1,0.3088715757728072,0.014931805565640218,0,0,1,1
76,0,3,1,0.37170143252073384,0.015411575213749284,0,0,1,1
77,0,3,1,0.37170143252073384,0.015712553569072387,0,0,1,1
78,1,2,1,0.005152048253329982,0.056604230248832196,0,0,1,3
79,1,3,0,0.37170143252073384,0.024349578357040744,0,0,1,1
